,Day,Time,Sensor_ID,Hourly_Counts,lat,lon
102,Friday,1,42,28.0,-37.80008565,144.96386412
103,Friday,1,43,13.0,-37.79844525,144.96411782
104,Friday,1,44,10.0,-37.79690473,144.96440378
105,Friday,1,45,99.0,-37.81414074,144.9660938
106,Friday,1,46,5.0,-37.80240719,144.96156731
107,Friday,1,47,129.0,-37.81160331,144.96220077
108,Friday,1,48,21.0,-37.80631581,144.95866698
109,Friday,1,49,51.0,-37.80730067,144.95956055
110,Friday,1,50,28.0,-37.79808191,144.96721014
111,Friday,1,51,20.0,-37.80841814,144.95906317
112,Friday,1,52,58.0,-37.81252157,144.9619401
113,Friday,1,53,49.0,-37.8156419,144.965499
114,Friday,1,54,21.0,-37.804024,144.963084
115,Friday,1,55,97.0,-37.81006172,144.96142335
116,Friday,1,56,30.0,-37.81234775,144.96153311
117,Friday,1,57,20.0,-37.8176735,144.95025595
118,Friday,1,58,67.0,-37.81686074,144.95358075
119,Friday,1,59,58.0,-37.80825648,144.96304859
120,Friday,1,60,171.0,-37.81668188,144.96689540000003
121,Friday,1,61,32.0,-37.80767455,144.96309115
122,Friday,2,1,42.0,-37.813494399999996,144.96515324
123,Friday,2,2,36.0,-37.81380667,144.96516719
124,Friday,2,3,126.0,-37.81101523,144.96429485
125,Friday,2,4,120.0,-37.81487988,144.9660878
126,Friday,2,5,59.0,-37.81874249,144.96787656
127,Friday,2,6,66.0,-37.81911704,144.96558256
128,Friday,2,7,14.0,-37.81862929,144.97169395
129,Friday,2,8,3.0,-37.82293543,144.94717511
130,Friday,2,9,6.0,-37.81982992,144.95102556
131,Friday,2,10,5.0,-37.81876473,144.94710545
132,Friday,2,11,4.0,-37.81564989,144.93970695
133,Friday,2,12,7.0,-37.81457987,144.94292398
134,Friday,2,13,11.0,-37.81239679,144.95652653
135,Friday,2,14,29.0,-37.82011242,144.96291898
136,Friday,2,15,52.0,-37.81064378,144.96447132
137,Friday,2,16,19.0,-37.81573423,144.96521044
138,Friday,2,17,15.0,-37.81362542,144.97323592
139,Friday,2,18,9.0,-37.81344861,144.97305354
140,Friday,2,19,67.0,-37.81237202,144.96550671
141,Friday,2,20,77.0,-37.81172913,144.96824660000001
142,Friday,2,21,210.0,-37.81244703,144.96778757
143,Friday,2,22,113.0,-37.81786445,144.96506823
144,Friday,2,23,20.0,-37.81909256,144.95452749
145,Friday,2,24,35.0,-37.81887962,144.95449198
146,Friday,2,25,44.0,-37.82401776,144.95604426
147,Friday,2,26,73.0,-37.80869542,144.96049404
148,Friday,2,27,10.0,-37.80606888,144.95644693
149,Friday,2,28,34.0,-37.82129924,144.96879309
150,Friday,2,29,19.0,-37.81965808,144.96863453
151,Friday,2,30,132.0,-37.81121849,144.96656807
152,Friday,2,31,18.0,-37.8016968,144.96658911
153,Friday,2,32,75.0,-37.81573742,144.96685718
154,Friday,2,33,6.0,-37.81483252,144.97454056
155,Friday,2,34,9.0,-37.81537985,144.97415049999998
156,Friday,2,35,79.0,-37.82017828,144.96508877
157,Friday,2,36,23.0,-37.81652527,144.96121063
158,Friday,2,37,9.0,-37.80310271,144.96671452
159,Friday,2,38,282.0,-37.81723437,144.96715033
