Day,Time,Sensor_ID,Hourly_Counts
Friday,02:00:00,52,38.0
Friday,02:00:00,53,31.0
Friday,02:00:00,54,11.0
Friday,02:00:00,55,79.0
Friday,02:00:00,56,20.0
Friday,02:00:00,57,13.0
Friday,02:00:00,58,50.0
Friday,02:00:00,59,44.0
Friday,02:00:00,60,107.0
Friday,02:00:00,61,20.0
Friday,03:00:00,1,35.0
Friday,03:00:00,2,32.0
Friday,03:00:00,3,101.0
Friday,03:00:00,4,89.0
Friday,03:00:00,5,54.0
Friday,03:00:00,6,49.0
Friday,03:00:00,7,12.0
Friday,03:00:00,8,2.0
Friday,03:00:00,9,5.0
Friday,03:00:00,10,5.0
Friday,03:00:00,11,3.0
Friday,03:00:00,12,6.0
Friday,03:00:00,13,9.0
Friday,03:00:00,14,23.0
Friday,03:00:00,15,32.0
Friday,03:00:00,16,14.0
Friday,03:00:00,17,12.0
Friday,03:00:00,18,6.0
Friday,03:00:00,19,44.0
Friday,03:00:00,20,67.0
Friday,03:00:00,21,178.0
Friday,03:00:00,22,95.0
Friday,03:00:00,23,17.0
Friday,03:00:00,24,26.0
Friday,03:00:00,25,28.0
Friday,03:00:00,26,53.0
Friday,03:00:00,27,7.0
Friday,03:00:00,28,43.0
Friday,03:00:00,29,12.0
Friday,03:00:00,30,104.0
Friday,03:00:00,31,11.0
Friday,03:00:00,32,51.0
Friday,03:00:00,33,4.0
Friday,03:00:00,34,7.0
Friday,03:00:00,35,59.0
Friday,03:00:00,36,20.0
Friday,03:00:00,37,6.0
Friday,03:00:00,38,239.0
Friday,03:00:00,39,6.0
Friday,03:00:00,40,7.0
Friday,03:00:00,41,122.0
Friday,03:00:00,42,12.0
Friday,03:00:00,43,4.0
Friday,03:00:00,44,3.0
Friday,03:00:00,45,43.0
Friday,03:00:00,46,2.0
Friday,03:00:00,47,71.0
Friday,03:00:00,48,12.0
Friday,03:00:00,49,29.0
Friday,03:00:00,50,7.0
Friday,03:00:00,51,11.0
Friday,03:00:00,52,23.0
Friday,03:00:00,53,22.0
Friday,03:00:00,54,9.0
Friday,03:00:00,55,55.0
Friday,03:00:00,56,17.0
Friday,03:00:00,57,13.0
Friday,03:00:00,58,25.0
Friday,03:00:00,59,28.0
Friday,03:00:00,60,97.0
Friday,03:00:00,61,19.0
Friday,04:00:00,1,28.0
Friday,04:00:00,2,24.0
Friday,04:00:00,3,50.0
Friday,04:00:00,4,70.0
Friday,04:00:00,5,56.0
Friday,04:00:00,6,65.0
Friday,04:00:00,7,15.0
Friday,04:00:00,8,3.0
Friday,04:00:00,9,7.0
Friday,04:00:00,10,5.0
Friday,04:00:00,11,3.0
Friday,04:00:00,12,5.0
Friday,04:00:00,13,9.0
Friday,04:00:00,14,44.0
Friday,04:00:00,15,22.0
Friday,04:00:00,16,14.0
Friday,04:00:00,17,15.0
Friday,04:00:00,18,6.0
Friday,04:00:00,19,28.0
Friday,04:00:00,20,41.0
Friday,04:00:00,21,119.0
Friday,04:00:00,22,82.0
Friday,04:00:00,23,13.0
Friday,04:00:00,24,33.0
Friday,04:00:00,25,22.0
Friday,04:00:00,26,40.0
Friday,04:00:00,27,6.0
Friday,04:00:00,28,56.0
Friday,04:00:00,29,16.0
Friday,04:00:00,30,76.0
Friday,04:00:00,31,13.0
Friday,04:00:00,32,40.0
Friday,04:00:00,33,7.0
Friday,04:00:00,34,8.0
Friday,04:00:00,35,68.0
Friday,04:00:00,36,13.0
Friday,04:00:00,37,5.0
Friday,04:00:00,38,247.0
Friday,04:00:00,39,9.0
Friday,04:00:00,40,7.0
Friday,04:00:00,41,116.0
Friday,04:00:00,42,14.0
Friday,04:00:00,43,3.0
Friday,04:00:00,44,3.0
Friday,04:00:00,45,36.0
Friday,04:00:00,46,3.0
Friday,04:00:00,47,59.0
Friday,04:00:00,48,8.0
Friday,04:00:00,49,21.0
Friday,04:00:00,50,10.0
Friday,04:00:00,51,10.0
Friday,04:00:00,52,15.0
Friday,04:00:00,53,18.0
Friday,04:00:00,54,7.0
Friday,04:00:00,55,37.0
Friday,04:00:00,56,10.0
Friday,04:00:00,57,25.0
Friday,04:00:00,58,26.0
Friday,04:00:00,59,30.0
Friday,04:00:00,60,88.0
Friday,04:00:00,61,19.0
Friday,05:00:00,1,31.0
Friday,05:00:00,2,29.0
Friday,05:00:00,3,76.0
Friday,05:00:00,4,90.0
Friday,05:00:00,5,100.0
Friday,05:00:00,6,163.0
Friday,05:00:00,7,34.0
Friday,05:00:00,8,25.0
Friday,05:00:00,9,64.0
Friday,05:00:00,10,22.0
Friday,05:00:00,11,5.0
Friday,05:00:00,12,11.0
Friday,05:00:00,13,98.0
Friday,05:00:00,14,73.0
Friday,05:00:00,15,33.0
Friday,05:00:00,16,25.0
Friday,05:00:00,17,57.0
Friday,05:00:00,18,31.0
Friday,05:00:00,19,21.0
Friday,05:00:00,20,20.0
Friday,05:00:00,21,67.0
Friday,05:00:00,22,166.0
Friday,05:00:00,23,42.0
Friday,05:00:00,24,222.0
Friday,05:00:00,25,66.0
Friday,05:00:00,26,80.0
Friday,05:00:00,27,12.0
Friday,05:00:00,28,108.0
